SITE_ID,INDUSTRY,SUB_INDUSTRY
6.csv,Commercial Property,Shopping Center/Shopping Mall
8.csv,Commercial Property,Shopping Center/Shopping Mall
9.csv,Commercial Property,Corporate Office
10.csv,Commercial Property,Shopping Center/Shopping Mall
12.csv,Commercial Property,Business Services
13.csv,Commercial Property,Commercial Real Estate
14.csv,Commercial Property,Business Services
21.csv,Commercial Property,Shopping Center/Shopping Mall
22.csv,Commercial Property,Bank/Financial Services
25.csv,Commercial Property,Shopping Center/Shopping Mall
29.csv,Commercial Property,Shopping Center/Shopping Mall
30.csv,Commercial Property,Bank/Financial Services
31.csv,Commercial Property,Commercial Real Estate
32.csv,Commercial Property,Shopping Center/Shopping Mall
36.csv,Commercial Property,Business Services
41.csv,Commercial Property,Corporate Office
42.csv,Commercial Property,Shopping Center/Shopping Mall
44.csv,Commercial Property,Shopping Center/Shopping Mall
45.csv,Commercial Property,Shopping Center/Shopping Mall
49.csv,Commercial Property,Shopping Center/Shopping Mall
51.csv,Commercial Property,Shopping Center/Shopping Mall
55.csv,Commercial Property,Shopping Center/Shopping Mall
56.csv,Commercial Property,Commercial Real Estate
65.csv,Commercial Property,Commercial Real Estate
78.csv,Commercial Property,Shopping Center/Shopping Mall
88.csv,Education,Primary/Secondary School
92.csv,Education,Primary/Secondary School
99.csv,Education,Primary/Secondary School
100.csv,Education,Primary/Secondary School
101.csv,Education,Primary/Secondary School
103.csv,Education,Primary/Secondary School
109.csv,Education,Primary/Secondary School
111.csv,Education,Primary/Secondary School
116.csv,Education,Primary/Secondary School
136.csv,Education,Primary/Secondary School
137.csv,Education,Primary/Secondary School
144.csv,Education,Primary/Secondary School
153.csv,Education,Primary/Secondary School
186.csv,Education,Primary/Secondary School
197.csv,Education,Primary/Secondary School
213.csv,Education,Primary/Secondary School
214.csv,Education,Primary/Secondary School
217.csv,Education,Primary/Secondary School
218.csv,Education,Primary/Secondary School
224.csv,Education,Primary/Secondary School
228.csv,Education,Primary/Secondary School
236.csv,Education,Primary/Secondary School
259.csv,Education,Primary/Secondary School
270.csv,Education,Primary/Secondary School
275.csv,Education,Primary/Secondary School
281.csv,Food Sales & Storage,Grocer/Market
285.csv,Food Sales & Storage,Grocer/Market
304.csv,Food Sales & Storage,Grocer/Market
339.csv,Food Sales & Storage,Grocer/Market
341.csv,Food Sales & Storage,Grocer/Market
363.csv,Food Sales & Storage,Grocer/Market
366.csv,Food Sales & Storage,Grocer/Market
384.csv,Food Sales & Storage,Grocer/Market
386.csv,Food Sales & Storage,Grocer/Market
391.csv,Food Sales & Storage,Grocer/Market
399.csv,Food Sales & Storage,Grocer/Market
400.csv,Food Sales & Storage,Grocer/Market
401.csv,Food Sales & Storage,Grocer/Market
404.csv,Food Sales & Storage,Grocer/Market
427.csv,Food Sales & Storage,Grocer/Market
454.csv,Food Sales & Storage,Grocer/Market
455.csv,Food Sales & Storage,Grocer/Market
472.csv,Food Sales & Storage,Grocer/Market
474.csv,Food Sales & Storage,Grocer/Market
475.csv,Food Sales & Storage,Grocer/Market
478.csv,Food Sales & Storage,Grocer/Market
484.csv,Food Sales & Storage,Grocer/Market
492.csv,Food Sales & Storage,Grocer/Market
496.csv,Food Sales & Storage,Grocer/Market
512.csv,Food Sales & Storage,Grocer/Market
648.csv,Light Industrial,Food Processing
654.csv,Light Industrial,Food Processing
673.csv,Light Industrial,Food Processing
674.csv,Light Industrial,Food Processing
690.csv,Light Industrial,Manufacturing
697.csv,Light Industrial,Food Processing
703.csv,Light Industrial,Food Processing
716.csv,Light Industrial,Manufacturing
718.csv,Light Industrial,Food Processing
731.csv,Light Industrial,Food Processing
737.csv,Light Industrial,Food Processing
742.csv,Light Industrial,Food Processing
744.csv,Light Industrial,Food Processing
745.csv,Light Industrial,Food Processing
755.csv,Light Industrial,Manufacturing
761.csv,Light Industrial,Manufacturing
765.csv,Light Industrial,Other Light Industrial
766.csv,Light Industrial,Food Processing
767.csv,Light Industrial,Food Processing
771.csv,Light Industrial,Food Processing
786.csv,Light Industrial,Food Processing
805.csv,Light Industrial,Food Processing
808.csv,Light Industrial,Food Processing
832.csv,Light Industrial,Manufacturing
887.csv,Light Industrial,Food Processing
